date,price_per_90kg,is_harvest_season
2011-09-30,2766.9,0
2011-10-31,2777.890178571429,0
2011-11-30,2788.880357142857,0
2011-12-31,2799.870535714286,0
2012-01-31,2810.8607142857145,1
2012-02-29,2821.8508928571428,1
2012-03-31,2832.8410714285715,0
2012-04-30,2843.83125,0
2012-05-31,2854.8214285714284,0
2012-06-30,2865.811607142857,1
2012-07-31,2876.801785714286,1
2012-08-31,2887.7919642857146,1
2012-09-30,2898.782142857143,0
2012-10-31,2909.7723214285716,0
2012-11-30,2920.7625000000003,0
2012-12-31,2931.7526785714285,0
2013-01-31,2942.7428571428572,1
2013-02-28,2818.575,1
2013-03-31,2520.0,0
2013-04-30,2633.4,0
2013-05-31,2433.6000000000004,0
2013-06-30,2360.1,1
2013-07-31,2440.0499999999997,1
2013-08-31,2250.0,1
2013-09-30,2999.7,0
2013-10-31,3150.0,0
2013-11-30,3500.1,0
2013-12-31,3489.660989010989,0
2014-01-31,3479.221978021978,1
2014-02-28,3468.782967032967,1
2014-03-31,3458.343956043956,0
2014-04-30,3447.904945054945,0
2014-05-31,3437.465934065934,0
2014-06-30,3427.026923076923,1
2014-07-31,3416.587912087912,1
2014-08-31,3406.148901098901,1
2014-09-30,3395.7098901098902,0
2014-10-31,3385.2708791208793,0
2014-11-30,3374.831868131868,0
2014-12-31,3364.392857142857,0
2015-01-31,3353.953846153846,1
2015-02-28,3343.514835164835,1
2015-03-31,3333.075824175824,0
2015-04-30,3322.636813186813,0
2015-05-31,3312.197802197802,0
2015-06-30,3301.758791208791,1
2015-07-31,3291.31978021978,1
2015-08-31,3280.880769230769,1
2015-09-30,3270.441758241758,0
2015-10-31,3260.002747252747,0
2015-11-30,3249.5637362637362,0
2015-12-31,3239.1247252747253,0
2016-01-31,3228.6857142857143,1
2016-02-29,3218.2467032967033,1
2016-03-31,3207.8076923076924,0
2016-04-30,3197.3686813186814,0
2016-05-31,3186.9296703296704,0
2016-06-30,3176.4906593406595,1
2016-07-31,3166.0516483516485,1
2016-08-31,3155.6126373626375,1
2016-09-30,3145.1736263736266,0
2016-10-31,3134.7346153846156,0
2016-11-30,3124.2956043956046,0
2016-12-31,3113.856593406593,0
2017-01-31,3103.4175824175823,1
2017-02-28,3092.9785714285713,1
2017-03-31,3082.5395604395603,0
2017-04-30,3072.1005494505494,0
2017-05-31,3061.6615384615384,0
2017-06-30,3051.2225274725274,1
2017-07-31,3040.7835164835165,1
2017-08-31,3030.3445054945055,1
2017-09-30,3019.9054945054945,0
2017-10-31,3009.4664835164835,0
2017-11-30,2999.0274725274726,0
2017-12-31,2988.5884615384616,0
2018-01-31,2978.1494505494506,1
2018-02-28,2967.7104395604397,1
2018-03-31,2957.2714285714287,0
2018-04-30,2946.8324175824177,0
2018-05-31,2936.393406593407,0
2018-06-30,2925.954395604396,1
2018-07-31,2915.5153846153844,1
2018-08-31,2905.0763736263734,1
2018-09-30,2894.6373626373625,0
2018-10-31,2884.1983516483515,0
2018-11-30,2873.7593406593405,0
2018-12-31,2863.3203296703296,0
2019-01-31,2852.8813186813186,1
2019-02-28,2842.4423076923076,1
2019-03-31,2832.0032967032967,0
2019-04-30,2821.5642857142857,0
2019-05-31,2811.1252747252747,0
2019-06-30,2800.6862637362638,1
2019-07-31,2790.247252747253,1
2019-08-31,2779.808241758242,1
2019-09-30,2769.369230769231,0
2019-10-31,2758.93021978022,0
2019-11-30,2748.491208791209,0
2019-12-31,2738.052197802198,0
2020-01-31,2727.613186813187,1
2020-02-29,2717.174175824176,1
2020-03-31,2706.735164835165,0
2020-04-30,2696.296153846154,0
2020-05-31,2685.857142857143,0
2020-06-30,2675.418131868132,1
2020-07-31,2664.979120879121,1
2020-08-31,2654.54010989011,1
2020-09-30,2644.1010989010992,0
2020-10-31,2633.6620879120883,0
2020-11-30,2623.2230769230773,0
2020-12-31,2612.784065934066,0
2021-01-31,2602.345054945055,1
2021-02-28,2591.906043956044,1
2021-03-31,2581.467032967033,0
2021-04-30,2571.028021978022,0
2021-05-31,2560.589010989011,0
2021-06-30,2550.15,1
2021-07-31,2700.0,1
2021-08-31,2666.7000000000003,1
2021-09-30,2762.5499999999997,0
2021-10-31,2827.7,0
2021-11-30,2949.8999999999996,0
2021-12-31,3228.8142857142857,0
2022-01-31,3325.275,1
2022-02-28,3393.0,1
2022-03-31,3436.527272727273,0
2022-04-30,3733.5750000000003,0
2022-05-31,4362.525,0
2022-06-30,5003.4375,1
2022-07-31,5314.66875,1
2022-08-31,5245.259999999999,1
2022-09-30,5046.54,0
2022-10-31,4970.775000000001,0
2022-11-30,5649.93,0
2022-12-31,5912.4375,0
2023-01-31,4517.94705882353,1
2023-02-28,5308.349999999999,1
2023-03-31,4883.299999999999,0
2023-04-30,5904.9,0
2023-05-31,5786.427272727273,0
2023-06-30,6099.8625,1
2023-07-31,5822.1,1
2023-08-31,5145.030000000001,1
2023-09-30,4424.849999999999,0
2023-10-31,4463.25,0
2023-11-30,4349.88,0
2023-12-31,4092.525,0
2024-01-31,4140.0,1
2024-02-29,4347.0,1
2024-03-31,6157.9800000000005,0
2024-04-30,3195.9900000000002,0
2024-05-31,3217.5,0
2024-06-30,3116.25,1
2024-07-31,3166.2,1
2024-08-31,3247.0615384615385,1
2024-09-30,3152.625,0
2024-10-31,3162.6000000000004,0
2024-11-30,3257.2285714285717,0
2024-12-31,3351.857142857143,0
2025-01-31,3446.4857142857145,1
2025-02-28,3541.114285714286,1
2025-03-31,3635.7428571428572,0
2025-04-30,3730.3714285714286,0
2025-05-31,3825.0,0
2025-06-30,4899.900000000001,1
2025-07-31,4185.0,1
2025-08-31,4464.257142857143,1
2025-09-30,4422.857142857143,0
2025-10-31,4149.9,0
2025-11-30,8489.0,0
2025-12-31,4200.3,0
2026-01-31,4156.3125,1
2026-02-28,3600.0,1
2026-03-31,4050.0,0
2026-04-30,4500.0,0
